"","jaar","geo","gdp","gas"
"117","2003","PT",16300,8
"118","2003","RO",4500,7
"119","2003","SE",35500,8
"120","2003","SI",15400,10
"121","2003","SK",8900,9.4
"122","2003","UK",28800,12.3
"123","2004","AT",33200,11.4
"124","2004","BE",32000,14.7
"125","2004","BG",3900,8.3
"126","2004","CH",51600,7.8
"127","2004","CY",22300,13.7
"128","2004","CZ",12800,14.8
"129","2004","DE",29600,12.6
"130","2004","DK",43500,13.5
"131","2004","EE",10000,14.2
"132","2004","EL",20800,12.3
"133","2004","ES",23100,10.1
"134","2004","FI",33400,15.9
"135","2004","FR",30100,9.1
"136","2004","HR",9800,6.9
"137","2004","HU",9500,7.6
"138","2004","IE",38100,17.2
"139","2004","IS",31400,15.4
"140","2004","IT",27900,10.2
"141","2004","LT",7300,6.4
"142","2004","LU",75300,30.6
"143","2004","LV",7300,5
"144","2004","MT",14300,7.7
"145","2004","NL",35900,14.2
"146","2004","NO",65600,12.4
"147","2004","PL",7300,10.4
"148","2004","PT",16500,8.3
"149","2004","RO",4900,7
"150","2004","SE",36900,7.9
"151","2004","SI",16000,10.2
"152","2004","SK",9300,9.6
"153","2004","UK",29300,12.2
"154","2005","AT",33700,11.5
"155","2005","BE",32500,14.2
"156","2005","BG",4200,8.4
"157","2005","CH",52900,7.8
"158","2005","CY",23100,13.6
"159","2005","CZ",13600,14.6
"160","2005","DE",29800,12.3
"161","2005","DK",44400,12.7
"162","2005","EE",11100,14.2
"163","2005","EL",20900,12.6
"164","2005","ES",23500,10.3
"165","2005","FI",34200,13.5
"166","2005","FR",30300,9
"167","2005","HR",10200,7
"168","2005","HU",9900,7.6
"169","2005","IE",39400,17.3
"170","2005","IS",33000,14.8
"171","2005","IT",28000,10.2
"172","2005","LT",8000,6.9
"173","2005","LU",76500,30.7
"174","2005","LV",8100,5.2
"175","2005","MT",14800,8
"176","2005","NL",36600,13.8
"177","2005","NO",66800,12.1
"178","2005","PL",7500,10.4
"179","2005","PT",16600,8.5
"180","2005","RO",5100,7
"181","2005","SE",37800,7.6
"182","2005","SI",16600,10.3
"183","2005","SK",9900,9.5
"184","2005","UK",30000,12.1
"185","2006","AT",34700,11.1
"186","2006","BE",33100,13.9
"187","2006","BG",4500,8.6
"188","2006","CH",54700,7.8
"189","2006","CY",23800,13.7
"190","2006","CZ",14500,14.7
"191","2006","DE",31000,12.4
"192","2006","DK",46000,14.1
"193","2006","EE",12300,13.8
"194","2006","EL",22000,12.3
"195","2006","ES",24100,10
"196","2006","FI",35500,15.7
"197","2006","FR",30800,8.8
"198","2006","HR",10700,7.1
"199","2006","HU",10300,7.5
"200","2006","IE",40300,16.8
"201","2006","IS",33800,16.7
"202","2006","IT",28500,10
"203","2006","LT",8700,7.1
"204","2006","LU",79200,29.7
"205","2006","LV",9200,5.5
"206","2006","MT",15000,8.2
"207","2006","NL",37800,13.5
"208","2006","NO",67900,12
"209","2006","PL",8000,10.8
"210","2006","PT",16800,8
"211","2006","RO",5600,7.1
"212","2006","SE",39400,7.6
"213","2006","SI",17500,10.4
"214","2006","SK",10800,9.5
"215","2006","UK",30600,11.9
"216","2007","AT",35900,10.8
"217","2007","BE",33900,13.5
"218","2007","BG",4800,9.1
"219","2007","CH",56500,7.5
"220","2007","CY",24400,13.8
"221","2007","CZ",15200,14.8
"222","2007","DE",32100,12.1
"223","2007","DK",46200,13.2
"224","2007","EE",13300,16.6
"225","2007","EL",22700,12.5
"226","2007","ES",24500,10.1
"227","2007","FI",37200,15.3
"228","2007","FR",31400,8.6
"229","2007","HR",11200,7.4
"230","2007","HU",10400,7.3
"231","2007","IE",41200,16.2
"232","2007","IS",36100,17.3
"233","2007","IT",28700,9.8
"234","2007","LT",9800,7.9
"235","2007","LU",84400,28.2
"236","2007","LV",10200,5.8
"237","2007","MT",15500,8.4
"238","2007","NL",39100,13.4
"239","2007","NO",69200,12.3
"240","2007","PL",8500,10.9
"241","2007","PT",17200,7.8
"242","2007","RO",6100,7.3
"243","2007","SE",40400,7.4
"244","2007","SI",18600,10.4
"245","2007","SK",11900,9.2
"246","2007","UK",31100,11.6
"247","2008","AT",36300,10.7
"248","2008","BE",33900,13.4
"249","2008","BG",5100,9
"250","2008","CH",57000,7.6
"251","2008","CY",24700,13.8
"252","2008","CZ",15400,14.2
"253","2008","DE",32500,12.2
"254","2008","DK",45700,12.5
"255","2008","EE",12600,15
"256","2008","EL",22600,12.2
"257","2008","ES",24400,9.2
"258","2008","FI",37300,13.8
"259","2008","FR",31300,8.5
"260","2008","HR",11500,7.1
"261","2008","HU",10500,7.2
"262","2008","IE",38500,15.6
"263","2008","IS",35900,18
"264","2008","IT",28200,9.5
"265","2008","LT",10100,7.7
"266","2008","LU",81900,27.5
"267","2008","LV",9900,5.6
"268","2008","MT",16000,8.4
"269","2008","NL",39800,13.3
"270","2008","NO",68700,11.8
"271","2008","PL",8900,10.7
"272","2008","PT",17200,7.6
"273","2008","RO",6700,7.2
"274","2008","SE",39900,7.1
"275","2008","SI",19200,10.7
"276","2008","SK",12600,9.3
"277","2008","UK",30700,11.1
"278","2009","AT",34800,9.8
"279","2009","BE",32900,12.1
"280","2009","BG",5000,7.8
"281","2009","CH",55100,7.3
"282","2009","CY",23600,13.1
"283","2009","CZ",14600,13.3
"284","2009","DE",30800,11.4
"285","2009","DK",43200,11.8
"286","2009","EE",10800,12.6
"287","2009","EL",21500,11.5
"288","2009","ES",23300,8.2
"289","2009","FI",34000,13
"290","2009","FR",30300,8
"291","2009","HR",10600,6.7
"292","2009","HU",9800,6.6
"293","2009","IE",36300,14.1
"294","2009","IS",33500,16.7
"295","2009","IT",26500,8.5
"296","2009","LT",8700,6.3
"297","2009","LU",76900,25.8
"298","2009","LV",8600,5.4
"299","2009","MT",15500,7.8
"300","2009","NL",38200,12.8
"301","2009","NO",66600,11.1
"302","2009","PL",9100,10.2
"303","2009","PT",16700,7.2
"304","2009","RO",6400,6.3
"305","2009","SE",37500,6.5
"306","2009","SI",17500,9.7
"307","2009","SK",11900,8.4
"308","2009","UK",29200,10.1
"309","2010","AT",35400,10.4
"310","2010","BE",33500,12.6
"311","2010","BG",5100,8.3
"312","2010","CH",56100,7.5
"313","2010","CY",23300,12.4
"314","2010","CZ",14900,13.5
"315","2010","DE",32100,11.8
"316","2010","DK",43800,11.9
"317","2010","EE",11000,16
"318","2010","EL",20300,10.9
"319","2010","ES",23200,7.9
"320","2010","FI",34900,14.4
"321","2010","FR",30700,8.1
"322","2010","HR",10500,6.6
"323","2010","HU",9900,6.6
"324","2010","IE",36800,13.9
"325","2010","IS",32500,16.5
"326","2010","IT",26800,8.7
"327","2010","LT",9000,6.7
"328","2010","LU",79200,26.5
"329","2010","LV",8500,6.1
"330","2010","MT",15900,7.9
"331","2010","NL",38500,13.5
"332","2010","NO",66300,11.5
"333","2010","PL",9400,10.7
"334","2010","PT",17000,6.9
"335","2010","RO",6200,6.1
"336","2010","SE",39400,7.1
"337","2010","SI",17700,9.6
"338","2010","SK",12400,8.6
"339","2010","UK",29500,10.3
"340","2011","AT",36300,10.1
"341","2011","BE",33800,11.5
"342","2011","BG",5300,9
"343","2011","CH",56700,6.9
"344","2011","CY",22800,11.7
"345","2011","CZ",15200,13.3
"346","2011","DE",33300,11.8
"347","2011","DK",44200,10.9
"348","2011","EE",11900,16
"349","2011","EL",18500,10.6
"350","2011","ES",22900,7.9
"351","2011","FI",35600,12.9
"352","2011","FR",31200,7.7
"353","2011","HR",10500,6.5
"354","2011","HU",10100,6.5
"355","2011","IE",38000,12.9
"356","2011","IS",33000,15.8
"357","2011","IT",26900,8.4
"358","2011","LT",9800,7.1
"359","2011","LU",79300,25.5
"360","2011","LV",9200,5.8
"361","2011","MT",16100,8.1
"362","2011","NL",38900,12.6
"363","2011","NO",66100,11.2
"364","2011","PL",9900,10.7
"365","2011","PT",16700,6.8
"366","2011","RO",6300,6.4
"367","2011","SE",40100,6.6
"368","2011","SI",17800,9.6
"369","2011","SK",12900,8.4
"370","2011","UK",29700,9.4
"371","2012","AT",36400,9.7
"372","2012","BE",33700,11.1
"373","2012","BG",5300,8.4
"374","2012","CH",56700,7
"375","2012","CY",21800,10.9
"376","2012","CZ",15100,12.9
"377","2012","DE",33400,11.8
"378","2012","DK",44200,10
"379","2012","EE",12500,15.3
"380","2012","EL",17200,10.4
"381","2012","ES",22200,7.7
"382","2012","FI",34900,11.9
"383","2012","FR",31200,7.7
"384","2012","HR",10300,6.1
"385","2012","HU",10000,6.1
"386","2012","IE",37900,12.9
"387","2012","IS",33300,15.9
"388","2012","IT",26000,8.1
"389","2012","LT",10300,7.2
"390","2012","LU",77200,24.2
"391","2012","LV",9700,5.8
"392","2012","MT",16300,8.4
"393","2012","NL",38300,12.2
"394","2012","NO",67000,11
"395","2012","PL",10000,10.5
"396","2012","PT",16100,6.6
"397","2012","RO",6500,6.2
"398","2012","SE",39700,6.2
"399","2012","SI",17300,9.3
"400","2012","SK",13100,8
"401","2012","UK",30000,9.6
"402","2013","AT",36200,9.7
"403","2013","BE",33600,11.1
"404","2013","BG",5400,7.7
"405","2013","CH",57000,7.1
"406","2013","CY",20600,10
"407","2013","CZ",15000,12.4
"408","2013","DE",33500,12
"409","2013","DK",44400,10.3
"410","2013","EE",12800,16.6
"411","2013","EL",16800,9.6
"412","2013","ES",21900,7.2
"413","2013","FI",34500,12
"414","2013","FR",31200,7.6
"415","2013","HR",10300,5.9
"416","2013","HU",10200,5.8
"417","2013","IE",38200,12.9
"418","2013","IS",34300,15.9
"419","2013","IT",25400,7.5
"420","2013","LT",10800,6.8
"421","2013","LU",78000,22.7
"422","2013","LV",10000,5.8
"423","2013","MT",16800,7.5
"424","2013","NL",38200,12.2
"425","2013","NO",66900,10.8
"426","2013","PL",10200,10.4
"427","2013","PT",16000,6.5
"428","2013","RO",6800,5.8
"429","2013","SE",39900,6
"430","2013","SI",17000,9
"431","2013","SK",13200,7.9
"432","2013","UK",30400,9.3
"433","2014","AT",36100,9.2
"434","2014","BE",33800,10.5
"435","2014","BG",5500,8.2
"436","2014","CH",57700,6.5
"437","2014","CY",20500,10.6
"438","2014","CZ",15400,12.2
"439","2014","DE",34100,11.4
"440","2014","DK",44900,9.5
"441","2014","EE",13200,16.1
"442","2014","EL",17000,9.4
"443","2014","ES",22300,7.3
"444","2014","FI",34200,11.1
"445","2014","FR",31300,7.1
"446","2014","HR",10300,5.7
"447","2014","HU",10700,5.9
"448","2014","IE",41300,12.8
"449","2014","IS",34600,16
"450","2014","IT",25400,7.1
"451","2014","LT",11300,6.9
"452","2014","LU",79500,21.5
"453","2014","LV",10300,5.8
"454","2014","MT",17900,7.5
"455","2014","NL",38600,11.7
"456","2014","NO",67400,10.7
"457","2014","PL",10500,10.1
"458","2014","PT",16300,6.6
"459","2014","RO",7000,5.8
"460","2014","SE",40500,5.8
"461","2014","SI",17500,8.1
"462","2014","SK",13600,7.5
"463","2014","UK",31000,8.6
"464","2015","AT",36200,9.4
"465","2015","BE",34200,10.8
"466","2015","BG",5700,8.7
"467","2015","CH",57800,6.4
"468","2015","CY",21000,10.7
"469","2015","CZ",16200,12.3
"470","2015","DE",34400,11.4
"471","2015","DK",45600,9
"472","2015","EE",13400,13.8
"473","2015","EL",17100,9.1
"474","2015","ES",23100,7.5
"475","2015","FI",34200,10.5
"476","2015","FR",31600,7.1
"477","2015","HR",10600,5.8
"478","2015","HU",11100,6.3
"479","2015","IE",51200,13.2
"480","2015","IS",35800,16.4
"481","2015","IT",25600,7.3
"482","2015","LT",11600,7
"483","2015","LU",81000,20.4
"484","2015","LV",10700,5.9
"485","2015","MT",19400,5.8
"486","2015","NL",39200,12.2
"487","2015","NO",68000,10.7
"488","2015","PL",10900,10.2
"489","2015","PT",16600,7
"490","2015","RO",7300,5.9
"491","2015","SE",41900,5.7
"492","2015","SI",17900,8.2
"493","2015","SK",14200,7.6
"494","2015","UK",31500,8.3
"495","2016","AT",36500,9.4
"496","2016","BE",34500,10.8
"497","2016","BG",6000,8.4
"498","2016","CH",58100,6.4
"499","2016","CY",22000,11.3
"500","2016","CZ",16500,12.4
"501","2016","DE",34900,11.4
"502","2016","DK",46300,9.3
"503","2016","EE",13900,15
"504","2016","EL",17100,8.8
"505","2016","ES",23800,7.3
"506","2016","FI",35100,11.1
"507","2016","FR",31800,7.1
"508","2016","HR",11100,5.9
"509","2016","HU",11300,6.3
"510","2016","IE",53100,13.5
"511","2016","IS",37900,16.7
"512","2016","IT",26000,7.2
"513","2016","LT",12000,7.1
"514","2016","LU",80900,19.8
"515","2016","LV",11000,6
"516","2016","MT",20000,5
"517","2016","NL",39800,12.2
"518","2016","NO",68200,10.5
"519","2016","PL",11300,10.5
"520","2016","PT",17000,6.9
"521","2016","RO",7700,5.8
"522","2016","SE",42500,5.6
"523","2016","SI",18500,8.6
"524","2016","SK",14600,7.6
"525","2016","UK",31800,7.9
